ausnut_public_food_key,ausnut_food_name,energy_kj_per_100g,energy_kcal_per_100g,protein_g_per_100g,fat_g_per_100g,carbs_g_per_100g,sugars_g_per_100g,fibre_g_per_100g,sodium_mg_per_100g
F004007,"Flour, wheat, white, plain",1479,353.5,10.0,1.3,73.2,1.9,2.2,3
F006143,"Oats, rolled, uncooked",1564,373.8,12.2,9.5,54.5,1.0,9.5,2
F007682,"Rice, white, uncooked",1422,339.9,7.0,0.9,74.0,0.0,0.8,1
F001418,"Bread, flat wrap or tortilla, commercial, not further defined",1177,281.3,8.6,6.4,44.7,3.8,4.5,548
F001463,"Bread, white, commercial",1050,251.0,9.5,2.0,46.2,3.1,3.2,439
F006068,"Noodle, wheat, instant, unflavoured, uncooked",1842,440.2,11.0,19.1,54.0,0.9,3.7,572
F006458,"Pasta, white, plain, dry, uncooked",1458,348.5,12.7,1.4,68.5,0.0,3.2,5
F001973,"Butter, plain, salted",3069,733.5,1.1,82.2,0.6,0.6,0.0,776
F006177,"Oil, olive",3695,883.1,0.0,99.9,0.0,0.0,0.0,0
F007827,"Salmon, Atlantic, raw",965,230.6,20.5,16.7,0.0,0.0,0.0,32
F007433,"Prawn, king or medium, flesh, raw (green)",381,91.1,20.7,0.8,0.0,0.0,0.0,345
F000114,"Apple, unpeeled, raw, not further defined",225,53.8,0.3,0.0,11.8,11.6,2.5,1
F000262,"Banana, cavendish, peeled, raw",399,95.4,1.4,0.2,19.9,13.4,2.2,0
F004258,"Grape, raw",296,70.7,0.8,0.0,16.4,16.2,1.6,1
F005174,"Lemon, peeled, raw",111,26.5,0.6,0.1,1.8,1.8,2.0,3
F005299,"Mango, peeled, raw",224,53.5,0.4,0.0,12.6,12.1,1.3,0
F006277,"Orange, peeled, raw",174,41.6,1.0,0.0,8.2,8.2,2.3,0
F008952,"Strawberry, raw",132,31.5,0.7,0.2,5.6,5.5,2.1,0
F003729,"Egg, chicken, whole, raw",533,127.4,12.6,8.5,0.3,0.3,0.0,150
F000655,"Beef, mince, >10% fat, raw",767,183.3,22.5,10.4,0.0,0.0,0.0,51
F007019,"Pork, chop, lean, raw",461,110.2,23.2,1.8,0.0,0.0,0.0,52
F002594,"Chicken, breast, lean, raw",412,98.5,22.5,0.8,0.0,0.0,0.0,48
F002806,"Chicken, thigh, lean, raw",436,104.2,19.1,3.0,0.0,0.0,0.0,64
F000192,"Bacon, middle rasher, lean, raw",572,136.7,21.3,5.5,0.4,0.4,0.0,1450
F008112,"Sausage, beef, raw",987,235.9,14.5,18.7,2.9,0.4,0.0,740
F005634,"Milk, cow, fluid, regular fat (~3.5%)",270,64.5,3.3,3.4,5.4,5.4,0.0,35
F009694,"Yoghurt, natural, regular fat (~4%)",306,73.1,5.1,3.2,5.0,4.9,0.1,58
F002414,"Cheese, cheddar, natural, plain",1686,403.0,24.6,33.4,0.3,0.3,0.0,686
F009176,"Tofu (soy bean curd), firm, as purchased",543,129.8,12.8,8.3,0.0,0.0,1.0,22
F002991,"Coconut, milk, canned",620,148.2,1.4,15.4,1.7,1.7,0.0,26
F006577,"Peanut butter, added sugar & salt",2495,596.3,22.2,49.6,14.3,8.6,5.8,477
F008050,"Sauce, pasta, tomato based, commercial",226,54.0,1.6,1.5,7.5,6.2,1.8,375
F008065,"Sauce, soy, commercial",209,50.0,6.8,0.0,3.2,2.2,0.0,5600
F000162,"Avocado, raw",653,156.1,1.6,14.6,2.2,0.0,5.9,8
F001905,"Broccoli, fresh or frozen, raw",134,32.0,4.0,0.4,1.2,1.2,3.5,20
F002234,"Capsicum, raw",102,24.4,1.0,0.3,3.8,3.8,1.2,2
F002276,"Carrot, raw",145,34.7,0.6,0.0,6.6,6.2,3.2,51
F003209,"Corn, raw",369,88.2,3.6,1.8,12.5,5.4,4.2,19
F003323,"Cucumber, raw",49,11.7,0.7,0.1,1.5,1.5,1.1,11
F004193,"Garlic, peeled, raw",522,124.8,6.1,2.8,10.2,1.5,16.9,8
F005194,"Lettuce, raw",65,15.5,1.1,0.1,1.8,1.8,1.4,15
F005946,"Mushroom, common, raw",114,27.2,2.2,0.8,0.8,0.8,1.4,7
F006225,"Onion, mature, brown skinned, peeled, raw",136,32.5,1.3,0.0,5.8,5.8,2.3,8
F007399,"Potato, unpeeled, raw",243,58.1,2.0,0.0,11.4,1.1,1.3,4
F007555,"Pumpkin, peeled, raw",144,34.4,1.2,0.0,6.7,6.0,1.9,0
F008749,"Spinach, baby, fresh, raw",68,16.3,2.8,0.0,0.0,0.0,2.5,86
F009210,"Tomato, raw, not further defined",76,18.2,0.7,0.0,2.9,2.6,1.2,5
F009222,"Tomato, whole, canned in tomato juice, undrained",79,18.9,0.9,0.0,3.0,3.0,1.0,52
F009775,"Zucchini, green skin, raw",69,16.5,1.0,0.2,2.2,2.2,1.0,0
